title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,0,0,2,2,920,15.009433329466965
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,1,1,3,3,1275,15.955576839107596
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,2,2,3,3,2290,16.929025911619092
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,0,3,3,3,1135,15.830413711839864
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3,4,3,3,1600,16.454567959008102
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4,5,4,4,2200,17.034386422832473
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,5,6,3,3,1380,16.066802461833923
1605 Sq Feet | Flat For Sale | Uttara,3,7,3,4,1605,16.648723960844016
"1420 Sq Ft Residential Apartment Is On Sale In Section 6, Mirpur",4,8,3,3,1420,16.195056784687036
"1282 Sq Ft Flat Is Up For Sale In Banasree, Block B",6,2,3,3,1282,15.931766193248746
Buy This 800 Sq Ft Apartment In Mirpur 1,4,9,2,2,800,15.28798284468299
1100 Sq Ft Great Apartment For Sale In Mirpur 1,4,9,3,3,1100,15.687312888712007
1100 Sq Ft Apartment For Sale In Mirpur 1,4,9,3,3,1100,15.687312888712007
Great news! This 800 Sq Ft Home for Sale in Mirpur 1 which can be your next destinati...,4,9,2,2,800,15.28798284468299
In Eastern Pallabi Apartment Can Be Found For Sale Near Pallabi Mazedul Islam Model H...,4,10,3,2,1108,15.520258832020865
"Well Presented, Beautiful Apartment Of 1695 SQ FT Located In Block F, Bashundhara, Dh...",2,11,3,4,1695,16.41820031748273
1500 Square Feet -3 Bedroom Large Residential Apartment For Sale At Aftab Nagar,5,11,3,3,1500,15.925723879522977
"1200 Sq Ft Nice Flat Is For Sale In Mohammadpur, Sat Masjid Housing",7,12,3,3,1200,15.607270193858982
2200 Sq Ft Flat Is Up For Sale In Mirpur DOHS Nearby Mirpur Dohs Central Mosque,4,5,3,3,2200,16.860033043306743
2-Bedroom Apartment Up For Sale In Faydabad near Kophil Market,0,13,2,2,970,15.201805169084134
A 1331 Sq Ft Beautiful Apartment Is Up For Sale At Uttara Near Radical Hospitals,3,4,3,3,1331,16.066802461833923
1422 Sq Ft Residential Space Is For Sale At Badda,8,14,3,3,1422,16.099096402866632
Cozy Apartment Is Up For Sale In Mirpur- 12 Nearby Agrani Bank Limited,4,15,3,3,1100,15.64006001130563
A Very Well-fitted Home Is Here Sited At Uttara Near Uttara 15 Number Sector Central ...,3,16,3,3,1600,16.300417291085605
"An Amazing Flat Of 1,650 sft Is Available For Sale In Uttara-4",3,17,3,3,1650,16.41820031748273
Great Location! Check Out This 1250 Sq Ft Flat For Sale In West Manikdi,9,18,3,3,1250,15.607270193858982
Modern Home For Residents | 1100 Sq Ft -2 Bedroom Flat In Darussalam Is Up For Sale.,4,19,2,2,1100,15.520258832020865
"Establish Your Peace In This Nice 1350 Sq Ft Apartment For Sale At Sector 5, Uttara",3,20,3,3,1350,15.955576839107596
"This 2200 Sq Ft Apartment Comes With Peaceful Living In Mirpur DOHS, Is Up For Sale",4,5,3,3,2200,16.906553056777135
Worthy 1040 SQ FT residence is for sale at Banasree,6,21,3,3,1040,15.687312888712007
"1300 Sq Ft Apartment With Better Residential Features Is Up For Sale In Mirpur, Palla...",4,10,3,3,1300,15.424948670398354
"1300 Sq Ft Residential Apartment With A Good Environment Is Up For Sale In Mirpur, Pa...",4,10,3,3,1300,15.424948670398354
A nicely constructed apartment of 650 SQ FT can be found in Mirpur for sale,4,22,2,2,650,14.914123179965662
1750 Sq Ft Nice Flat For Sale In Uttara-12,3,4,3,3,1750,16.770420889081343
1750 Sq Ft Residential Flat For Sale In Uttara-12,3,4,3,3,1750,16.770420889081343
"A 2440 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Block H, Bashundhara R...",2,23,4,4,2440,17.050259771358842
"1609 Sq Ft Suitable Apartment For Sale In Banasree, Block H",6,23,3,3,1609,16.36495580701484
"1150 Sq Ft Apartment For Sale In East Monipur, Mirpur",4,24,3,3,1150,15.76142084987672
"Lovely Apartment Of 770 Sq Ft Is Up For Sale In Section 6, Mirpur",4,8,2,2,770,15.201805169084134
"1200 Sq Ft Nice Apartment For Sale In East Kazipara, Mirpur",4,25,3,3,1200,15.856731016694035
1425 Sq Ft Apartment For Sale In Mirpur 12,4,15,3,3,1425,16.257857680289998
2280 Square Feet Flat With Various Features Is Available For Sale In Bashundhara R/a,2,26,4,4,2280,17.034386422832473
800 Sq Ft Flat Is Now For Sale In West Ahmed Nagar,4,27,2,2,800,15.201805169084134
Reasonable 1700 SQ FT flat is available for sale in Mohammadpur,7,28,3,3,1700,16.733281344102608
"1000 Sq Ft Flat Of Great Quality Is For Sale In Middle Paikpara, Mirpur",4,29,3,2,1000,15.520258832020865
"Buy This 1155 Sq Ft Apartment In Mirpur-1, South Bishil",4,9,3,3,1155,15.76142084987672
"Live Comfortably In This 1550 Sq Ft Residential Flat, Up For Sale In Mirpur, Baitur R...",4,30,3,3,1550,15.967272877502799
"930 Sq Ft Flat For Sale In Mirpur, Middle Monipur, Baitur Rowshan Jame Masjid Road",4,30,2,2,930,15.46416937585933
"Buy This 850 Sq Ft Unique Apartment In Mirpur, Pallabi",4,10,2,2,850,15.201805169084134
Find 1200 Sq Ft Flat Available For Sale In Paikpara,4,27,3,3,1200,15.520258832020865
Offering You 1200 Sq Ft Flat For Sale In Paikpara,4,27,3,3,1200,15.520258832020865
"Choose Your Destination, 1200 Sq Ft Flat Which Is Available For Sale In Ahmed Nagar",4,27,3,3,1200,15.520258832020865
"In The Location Of Mirpur, Close To Delta Medical College And Hospital A Flat Is Up F...",4,9,3,2,1300,15.76142084987672
Visit This Flat For Sale In Uttara Nearby Shaheed Monsur Ali Medical College And Hosp...,3,31,3,3,1500,16.012735246411598
